지역,인센티브,포인트 지급한도,연간 지급한도,시작일,종료일
가평군,10 %,"월 60,000 원",연간 제한 없음,2023-10-01,2023-10-31
고양시,7 %,"월 14,000 원",연간 제한 없음,2023-10-01,예산 소진시 까지
과천시,7 %,"월 28,000 원",연간 제한 없음,2023-10-01,2023-10-31
광명시,10 %,"월 20,000 원",연간 제한 없음,2023-10-01,2023-10-31
광주시,7 %,"월 49,000 원",연간 제한 없음,2023-10-01,예산 소진시 까지
구리시,10 %,"월 100,000 원",연간 제한 없음,2023-10-01,예산 소진시 까지
군포시,7 %,"월 49,000 원",연간 제한 없음,2023-10-01,2023-10-31
김포시,6 %,"월 12,000 원",연간 제한 없음,2023-10-01,예산 소진시 까지
남양주시,10 %,"월 30,000 원",연간 제한 없음,2023-10-01,2023-10-31
동두천시,10 %,"월 60,000 원",연간 제한 없음,2023-10-01,2023-10-31
부천시,7 %,"월 35,000 원",연간 제한 없음,2023-10-01,2023-10-31
성남시,6 %,"월 12,000 원",연간 제한 없음,2023-10-07,2023-10-31
수원시,7 %,"월 28,000 원",연간 제한 없음,2023-10-01,2023-10-31
시흥시,7 %,"월 21,000 원",연간 제한 없음,2023-10-01,예산 소진시 까지
안산시,7 %,"월 21,000 원","연간 7,200,000 원",2023-10-01,예산 소진시 까지
안성시,10 %,"월 50,000 원",연간 제한 없음,2023-10-01,2023-10-31
안양시,-,-,-,-,-
양주시,10 %,"월 70,000 원",연간 제한 없음,2023-10-31,예산 소진시 까지
양평군,10 %,"월 30,000 원",연간 제한 없음,2023-10-01,2023-10-31
여주시,10 %,"월 70,000 원",연간 제한 없음,2023-10-01,예산 소진시 까지
연천군,10 %,"월 70,000 원",연간 제한 없음,2023-10-01,예산 소진시 까지
오산시,10 %,"월 50,000 원",연간 제한 없음,2023-10-01,예산 소진시 까지
용인시,10 %,"월 50,000 원",연간 제한 없음,2023-10-01,2023-10-31
의왕시,7 %,"월 35,000 원",연간 제한 없음,2023-10-01,예산 소진시 까지
의정부시,6 %,"월 24,000 원",연간 제한 없음,2023-10-01,예산 소진시 까지
이천시,10 %,"월 70,000 원",연간 제한 없음,2023-10-01,예산 소진시 까지
파주시,10 %,"월 20,000 원",연간 제한 없음,2023-10-01,2023-10-31
평택시,7 %,"월 35,000 원",연간 제한 없음,2023-10-01,2023-10-31
포천시,10 %,"월 40,000 원",연간 제한 없음,2023-10-01,2023-10-31
하남시,6 %,"월 24,000 원",연간 제한 없음,2023-10-01,2023-10-31
화성시,10 %,"월 30,000 원",연간 제한 없음,2023-10-01,2023-10-31
