시군명,신규가입자수,연충전액,총사용액,총인구수,인구수대비사용액,인구수대비사용액2
이천시,17951.0,144840,129671,222098,0.5838458698412412,5838.458698412412
양평군,13199.0,74071,72623,125238,0.5798799086539229,5798.799086539229
가평군,10557.0,41826,36092,62302,0.5793072453532792,5793.072453532792
연천군,6553.0,27073,22797,41584,0.5482156598691804,5482.156598691804
광명시,61939.0,145619,148055,280197,0.5283960927490301,5283.960927490301
시흥시,38896.0,266952,267141,519715,0.5140144117448986,5140.1441174489855
구리시,20052.0,95748,94415,187093,0.5046420764005067,5046.420764005067
과천시,8579.0,41791,40745,81000,0.5030246913580247,5030.246913580248
안양시,169450.0,267133,265608,544660,0.48765835567142807,4876.58355671428
군포시,20431.0,121747,121760,261229,0.4661044524153138,4661.044524153138
광주시,22055.0,183581,176580,391377,0.4511762316129972,4511.762316129972
안성시,37475.0,84827,84778,189034,0.44848016758889936,4484.8016758889935
하남시,29096.0,141693,146166,329861,0.44311391768047753,4431.139176804775
화성시,90907.0,404519,418370,944342,0.4430280555137863,4430.280555137863
여주시,10330.0,62232,48789,114412,0.42643254204104464,4264.325420410446
파주시,108008.0,216346,211816,497753,0.4255443965179517,4255.443965179516
성남시,90012.0,340457,329209,919747,0.3579343014981294,3579.343014981294
남양주시,55411.0,252415,250541,732265,0.3421452616197688,3421.4526161976883
부천시,48938.0,271991,265594,779968,0.3405190982194141,3405.1909821941413
평택시,110882.0,196019,199893,591022,0.338215836297126,3382.15836297126
김포시,31164.0,153277,160135,486172,0.3293793143167439,3293.7931431674388
용인시,79225.0,359181,334530,1075566,0.31102693837477197,3110.2693837477195
안산시,35667.0,189345,180435,629308,0.2867196984624381,2867.196984624381
오산시,14725.0,67197,63557,229656,0.27674870240707844,2767.487024070784
양주시,21129.0,75640,73886,268026,0.27566728600956625,2756.6728600956626
수원시,83697.0,327687,322244,1197257,0.2691519030584077,2691.519030584077
동두천시,5964.0,25134,23451,88626,0.2646063232008666,2646.0632320086656
의왕시,13142.0,37391,37491,158870,0.23598539686536163,2359.8539686536164
포천시,10285.0,38659,29628,143323,0.20672187994948474,2067.218799494847
의정부시,19815.0,84874,86144,464213,0.18556998619168355,1855.6998619168355
고양시,45931.0,141316,137251,1074907,0.1276863951951192,1276.8639519511921
경기도,1331465.0,4880581,4779395,13630821,0.3506314843397914,3506.314843397914
