시군명,신규가입자수,연충전액,총사용액
가평군,10557.0,41826,36092
고양시,45931.0,141316,137251
과천시,8579.0,41791,40745
광명시,61939.0,145619,148055
광주시,22055.0,183581,176580
구리시,20052.0,95748,94415
군포시,20431.0,121747,121760
김포시,31164.0,153277,160135
남양주시,55411.0,252415,250541
동두천시,5964.0,25134,23451
부천시,48938.0,271991,265594
성남시,90012.0,340457,329209
수원시,83697.0,327687,322244
시흥시,38896.0,266952,267141
안산시,35667.0,189345,180435
안성시,37475.0,84827,84778
안양시,169450.0,267133,265608
양주시,21129.0,75640,73886
양평군,13199.0,74071,72623
여주시,10330.0,62232,48789
연천군,6553.0,27073,22797
오산시,14725.0,67197,63557
용인시,79225.0,359181,334530
의왕시,13142.0,37391,37491
의정부시,19815.0,84874,86144
이천시,17951.0,144840,129671
파주시,108008.0,216346,211816
평택시,110882.0,196019,199893
포천시,10285.0,38659,29628
하남시,29096.0,141693,146166
화성시,90907.0,404519,418370
