,0
0,"개존맛… 직접 구운 빵에 맛있는 커피까지 관악구에 이런 보석같은 곳이 있는 걸 몰랐네요. 크로아상 결이 살아있고 안에 든 루꼴라도 엄청 싱싱해요. 빵에 바른 소스가 뭔가요 사장님?! 너무 제 취향 ㅠㅠ 
이제 날도 풀려서 커피 한 잔 마시며 멍때리기 좋아요 "
1,에스프레소가 생각나서 들려봤어요 커피가 쓰지 않고 맛있어서 두잔 마셨어요^^ 자리가 없어서 야외 자리에 앉아서 마셨는데 나름 느낌 좋았어요 다음엔 다른 종류도 다 마셔보고 싶어요~
2,개성 있는 메뉴들이 많고 사장님이 친절하십니다
3,가격과 맛 모두잡은곳
4,지난번 방문때 못먹은 샌드위치가 생각나서 재방문 했어요. 샌드위치 맛있고 파이도 여전히 맛있어요.  리모네 한잔하고 선물할 파이 구매까지 완벽👍🏻👍🏻 구디가면 꼭 가보세요!
5,"레몬 조각이 아닌 레몬 껍질이 들어간 리모네가 인상적이네요. 추가로 준비된 원두 너무 맛있어요:)
리뷰가 좋아서 일부러 찾아갔는데 커피도 파이도 너무 맛있어요! 💛"
6,"가격도합리적이고 무엇보다 맛에충실합니다.
오래오래 운영해주세요"
7,"에스프레소 두번째로 먹어보는건데 달콤하면서 강하게 쓰지 않은 맛이 좋았어요!
아침에 먹기에 부담스럽지 않고 부드러운 커피였어요🤎
오네로소 강추입니당!"
8,굿
9,굿
10,
11,이탈리아 전통 커피를 맛보는듯. 밀라노에서 보던 메뉴가 이작은 카페안에 다있어요. 직접만든 디저트도~~~~ 쓴맛을 좀줄여 고소한맛이 강하게~~브랜딩도 아주 굿입니다.
12,"사장님.. 진지하게 구로구청 근처로 이전해주시면 안되나요..? 그럼 매일갈게요.. 너무 맛있어요 ㅠ ,,  배달로 크루아상이랑 커피 시켜먹고 맛있어서 직접 찾아왔잖아요 누가 이렇게 만들었나... 하고.. ㅜ 최곱니다"
13,굿
14,커피 잘하는 집이에요
15,굿
16,굿
17,굿
18,"데이즈라이크디스는 말모말모👍🏻
다양한 에스프레소 커피가 있고 맛은 물론 맛있습니다! 사장님이 커피에 진심이신분 같아요! 항상 친절 하십니다. 오네로소가 제 최애 메뉴에요! 임신하고나서 커피 마시기 부담스러웠는데 디카페인도 출시 해주셔서 너무 좋아요🤎 지친 회사생활에 쉼터 같은곳 입니다🤎🤍☕️ 크로와상 샌드위치랑 파이도 너무 맛있어요!!! "
19,"에스프레소 스핀 오프 제품들이 특이하고
맛있어요"
20,맛
21,굿
22,굿
23,"분위기 짱 좋고 사장님 짱 친절하시구 커피에대해서도 엄청 잘 아시고 짱 수준급 커피를 저렴한 가격에 마실수있더요!!!!!
짱짱짱마싯음 산미있는거도 요청해서 마셧는데 진짜 맛있었어요 커피 잘 아시는분들에게 강추👍👍👍"
24,에스프레소 스핀오프가 맛나요
25,굿
26,에스프레소 맛난게 많아요
27,다 개맛도리😋 캔디 그린 원두 맛보길 잘 함 ୧ʕ•̀ᴥ•́ʔ୨ 프레치아 계절 메뉴 마시기 전에 로즈마리 향이 빡 상큼하면서 시원한 음료
28,
29,"가성비 최고
이동네에  이런 커피맛집이라니
좋고 또 가야겠당"
30,"언제 먹어도 엄청엄청맛있어요!! 파이는 라즈베리가 픽이에요 상큼해서 물리지 않아요 뺑오쇼콜라는 크고 발로나초코여서 더맛있어요:) 
소금빵은 일반생각하는 빵이 아니라 페스츄리라서 더... 츄릅👍🏻👍🏻"
31,"커피가 엄청 진한 편이고 맛있어요! 커피 색감이 너무 예쁘지 않나요☕️ 에스프레소 전문점인데 라떼도 맛있어요. 제가 쓴 커피를 못 마셔서 에스프레소는 함부로 도전 못 하겠지만 한번 먹어보고 싶어요!! 가게 인테리어가 매우 힙하고 멋져요! 소품이랑 포스터들이 멋지네요. 커피만 파는게 아니라 맛난 빵, 디저트도 조금씩 팔고 있어요. 파이 너무 맛나보여서 사 먹어 봤는데 달달하고 바삭해서 너무 맛있어요😋"
32,커피 맛있고 친절해요. 에스프레소도 모든 종류 다 맛있고 라떼도 맛있어요
33,오늘 가족모임있어서 디저트픽업예약하러 방문했다가 방문한 김에 커피 먹었어요 저번에 프레치아 먹고 계속 생각나더라구요:) 아침에 부담없이 먹기에 좋아요ㅎㅎ 
34,굿
35,요번에 시그니처신메뉴 나왔다길래 방문했어요:) 일단 컵이랑 매칭이 잘되서 이뻐요 보기만해도 청량한 느낌이였어요 맛은 레몬에이드에 에쏘맛이 약간 있는..? 처음먹어보는맛!  근데 한모금씩 마시다보면 빠지는 맛!!  맛있어요👍🏻 
36,너무너무 좋아하는 에스프레소바 입니다. 회사근처라 자주가서 힐링하곤 합니다. 커피맛은 말할것도 없고 사장님 친절 하시고 최애 커피집 입니다👍🏻🤎
37,에스프레소가 다양해요
38,사장님이 맛있고 커피가 친절해요
39,"신랑이랑 자주가는 에소프레소바에요 
여기는 찐이에요:) 
커피는 기본부터 스페셜까지 다 맛있고 디저트도눈물나게 진짜 엄청 맛있어요 소금빵은 페스츄리라서 바삭하고 적당히 짭잘해요 뺑오쇼콜라는 안에 초코가 박혀있어서.. 츄릅 저 루꼴라샌드위치도 진짜 맛있어요.. 파이도 굳이에요 사장님 직원분들도 엄청 친절하세요👍🏻👍🏻"
